engine_size,horsepower,fuel_efficiency_kmpl,price
2.0,232,14.0,28416.77
1.2,318,19.9,29344.23
3.2,254,21.4,31623.65
1.6,346,18.0,31941.68
3.4,251,10.5,33614.89
4.2,79,20.7,18105.8
4.3,84,14.0,18827.24
2.2,324,8.2,34864.28
3.2,73,12.8,17336.02
3.3,188,13.6,25507.88
2.9,65,12.7,16375.93
3.6,163,21.8,22895.51
1.8,262,20.9,28255.56
4.9,118,19.8,24383.33
1.4,218,10.4,24288.62
4.3,398,21.7,43672.93
3.4,83,19.5,17442.31
2.0,81,11.3,15610.38
4.0,152,19.0,27402.7
1.3,341,16.2,34509.13
4.1,197,15.5,30148.98
3.4,277,9.9,38807.77
1.4,71,16.8,12433.94
1.3,309,9.7,32241.97
4.0,82,10.8,20996.02
2.2,301,10.3,31521.55
4.6,110,24.2,21004.15
4.0,351,12.8,40400.75
3.8,160,14.0,26171.42
2.1,122,13.5,17723.74
3.8,174,23.3,25132.34
4.8,60,17.6,20791.18
1.4,116,23.6,15534.73
2.3,263,13.1,29582.42
1.9,162,10.0,20205.01
2.6,180,17.5,24977.91
4.0,334,13.9,40795.84
2.9,102,21.6,14760.61
3.3,194,23.0,24850.27
2.3,123,16.0,18438.27
1.6,224,24.5,24413.24
2.1,172,17.4,22765.15
4.4,75,12.6,20535.86
3.4,83,16.3,18572.87
2.5,349,8.6,37976.21
4.2,79,21.7,17554.22
1.3,326,9.7,32483.1
2.0,371,13.2,37728.49
1.9,218,17.6,24497.98
4.9,166,8.7,26396.64
3.8,323,9.3,38348.77
3.5,393,19.8,42304.31
1.0,100,9.2,13697.95
1.7,387,16.1,37424.76
3.5,380,13.8,42811.99
2.5,108,11.9,16486.56
4.7,78,11.2,18867.94
4.1,303,21.0,35817.75
2.8,86,24.2,16396.17
4.0,264,10.4,37091.33
4.9,82,24.3,21338.19
2.8,294,18.1,30602.6
3.6,138,18.9,21856.45
4.7,92,20.1,21479.95
2.0,82,20.0,13826.39
4.5,124,21.9,23693.96
1.4,243,16.2,24134.43
3.6,86,17.1,18412.41
4.1,332,13.5,40415.48
3.5,265,9.8,34718.51
3.0,161,19.3,21276.42
3.5,395,8.6,43542.26
1.6,283,12.7,25679.27
1.9,288,9.6,30417.81
2.1,119,11.2,17303.38
3.4,301,18.9,33215.62
2.8,250,18.7,29443.42
2.0,394,15.2,39156.08
4.5,222,9.5,29196.18
2.5,290,15.4,32463.26
2.8,175,14.0,22507.51
2.6,73,20.2,15038.53
1.7,103,17.8,12897.22
3.9,354,16.4,40655.01
2.8,310,16.3,33930.26
1.1,183,24.4,19184.65
4.9,297,20.9,38062.05
4.3,61,16.4,17787.25
3.9,72,16.1,15790.59
4.5,232,8.5,31319.19
4.6,272,24.0,33784.17
2.3,378,13.4,38967.58
3.4,318,12.4,36167.63
3.4,147,25.0,22447.82
2.1,337,20.2,33761.17
1.9,227,8.8,25142.48
1.5,340,9.1,34167.86
3.6,119,8.4,22598.79
4.1,68,18.2,18447.33
4.0,79,9.2,22757.57
2.3,396,23.9,37841.64
1.8,87,23.9,12764.78
2.8,379,17.3,40364.19
3.2,307,18.5,34749.87
4.7,109,13.0,22769.07
4.5,353,9.1,40801.11
4.7,109,20.5,21628.75
4.4,108,9.7,21574.45
4.9,255,9.5,33635.09
2.9,158,13.3,21701.48
1.2,158,8.2,17839.36
1.3,126,15.4,16895.68
2.6,266,20.0,30681.64
2.0,69,21.6,10924.18
1.7,143,18.3,17554.66
4.8,248,22.4,30692.64
1.8,225,14.9,24523.49
4.8,297,22.4,37998.47
4.0,133,16.6,24387.41
3.6,280,11.8,33560.43
3.7,318,24.1,37652.78
2.3,191,12.7,21851.46
3.6,147,8.4,22628.56
1.7,248,12.1,28339.49
4.8,256,14.2,37856.68
2.2,91,14.0,16420.15
2.0,252,16.9,27564.49
3.8,112,23.0,16717.22
3.6,253,13.0,29256.33
2.8,376,16.9,39739.11
3.5,242,13.8,30502.91
1.6,318,22.0,29481.25
3.7,165,10.7,25943.3
2.1,373,9.8,38792.7
2.1,336,16.6,36056.62
1.6,371,19.4,35974.9
2.3,312,21.5,34327.59
2.3,280,18.0,30461.99
2.8,238,21.2,27687.0
1.8,375,14.7,38891.47
1.8,348,8.6,34582.34
3.2,201,10.0,31801.67
1.5,89,8.7,15127.89
3.8,61,13.6,17911.24
4.8,139,16.4,26447.64
2.7,81,14.1,18930.7
4.6,131,17.5,25543.76
1.4,97,16.2,11422.42
1.2,393,19.5,38620.21
3.9,92,19.3,18703.66
