mileage,age_years,brand,engine_type,price
128288,7,Toyota,Diesel,13317.95
63770,5,Toyota,Petrol,18361.77
110964,7,Hyundai,Electric,13787.41
15942,2,Ford,Diesel,22439.89
15475,1,Ford,Hybrid,25159.17
117640,7,Toyota,Electric,14683.21
125263,12,Honda,Electric,7240.44
141418,7,Hyundai,Hybrid,12365.09
49368,11,Honda,Hybrid,15101.38
4318,2,Ford,Diesel,23627.34
147005,6,Honda,Petrol,12337.82
90604,9,Honda,Petrol,14667.73
37821,5,Toyota,Diesel,20222.24
114812,0,Hyundai,Electric,21846.42
135680,1,Hyundai,Petrol,16016.0
43436,13,Toyota,Petrol,11819.32
115680,9,Honda,Electric,11648.66
118345,3,Ford,Hybrid,15094.48
75750,3,Honda,Petrol,17744.48
95220,0,BMW,Electric,21923.79
41158,14,Honda,Petrol,11220.46
139445,1,Toyota,Electric,17670.98
147482,11,Honda,Hybrid,8234.03
147169,3,Ford,Hybrid,16564.01
110831,5,Toyota,Electric,15474.5
7309,4,Hyundai,Electric,22483.78
55601,12,Toyota,Hybrid,12933.65
67295,0,Toyota,Electric,22626.94
144016,5,Ford,Diesel,13134.29
82501,4,Ford,Hybrid,18317.49
80889,4,Honda,Electric,17822.68
22864,2,Honda,Hybrid,22852.14
119264,13,Toyota,Electric,9076.4
51106,5,BMW,Hybrid,23098.76
14688,6,Honda,Petrol,19951.58
148159,5,Toyota,Petrol,16273.31
29320,14,Honda,Petrol,12009.52
3418,5,Hyundai,Electric,20832.46
12597,5,Honda,Electric,21879.48
68423,4,Hyundai,Petrol,19247.15
16332,4,Honda,Petrol,20997.46
126555,1,Toyota,Hybrid,15012.18
77354,9,Honda,Hybrid,14552.34
49261,0,Honda,Electric,19873.58
1469,3,Toyota,Diesel,24290.47
72489,3,Ford,Diesel,18178.92
23544,4,Honda,Petrol,21822.41
146728,11,BMW,Petrol,12781.07
44372,8,Ford,Hybrid,13518.39
71756,14,Ford,Diesel,9525.11
3774,5,Ford,Electric,19770.98
20507,13,Toyota,Electric,12984.8
31915,0,BMW,Diesel,28505.84
8706,7,Toyota,Petrol,22285.62
109173,11,BMW,Electric,16742.78
141867,7,Hyundai,Petrol,13066.05
147817,13,BMW,Diesel,13221.87
40605,4,Ford,Hybrid,20545.1
118523,0,Honda,Electric,18845.76
76105,11,Hyundai,Hybrid,9429.04
7832,1,Honda,Petrol,23582.1
14514,11,Ford,Petrol,15448.38
82620,11,BMW,Diesel,15905.24
64124,12,Hyundai,Diesel,11482.16
2248,7,Hyundai,Petrol,17957.48
139585,13,Toyota,Hybrid,9423.19
109820,2,Hyundai,Petrol,18308.35
75859,6,Toyota,Electric,17188.9
148062,1,Ford,Electric,16542.82
145699,11,Hyundai,Electric,8370.35
146118,10,BMW,Petrol,14931.17
39566,12,Hyundai,Diesel,11499.48
132252,11,Honda,Electric,6963.67
76177,4,Honda,Diesel,18171.25
109179,1,Honda,Electric,19129.84
129070,13,Honda,Petrol,9597.62
25335,7,BMW,Petrol,25018.85
67789,1,Ford,Electric,21694.55
20205,13,BMW,Electric,17392.12
42643,14,Ford,Petrol,10245.13
62613,6,Honda,Hybrid,17645.75
128465,11,Toyota,Petrol,12815.04
129537,0,Ford,Hybrid,19299.27
59093,1,Hyundai,Electric,22088.63
50050,4,Hyundai,Hybrid,18332.15
80077,9,Honda,Hybrid,12736.31
136868,2,Ford,Diesel,16503.29
146502,0,BMW,Hybrid,21354.11
34787,10,BMW,Petrol,19974.53
28786,11,Toyota,Diesel,14622.97
106309,11,Ford,Petrol,11796.04
45908,11,Toyota,Diesel,13478.96
30764,12,Toyota,Hybrid,10934.7
5629,9,BMW,Diesel,23123.88
61078,7,Toyota,Petrol,15507.27
59383,12,Honda,Diesel,12482.01
84895,5,Ford,Hybrid,15651.2
30827,1,BMW,Electric,27330.21
