usage_minutes,contract_duration_months,support_calls,churn
445.0,27,4,0
281.3,4,4,0
91.7,12,8,1
552.4,7,6,0
204.8,6,3,1
30.1,7,9,1
205.4,2,8,1
476.7,29,9,0
373.6,3,7,1
450.5,14,3,0
476.2,25,7,0
127.2,35,3,1
554.3,30,2,0
262.8,5,4,1
383.4,35,9,0
1.4,23,5,1
596.0,7,3,0
168.5,16,4,1
37.2,33,2,1
275.0,14,6,0
77.4,7,3,1
91.4,31,5,1
379.4,34,3,0
235.8,35,3,0
553.1,34,9,1
191.5,31,3,1
435.7,16,0,0
276.7,7,3,0
396.0,22,5,1
359.8,8,0,0
283.7,17,3,0
570.0,23,1,0
205.6,34,5,1
106.3,11,7,1
406.9,9,9,1
507.6,26,3,0
24.2,1,8,1
269.8,20,2,1
535.5,27,7,0
449.8,20,5,0
595.1,14,7,0
318.8,29,7,0
396.0,13,5,0
181.5,25,2,1
568.5,17,5,0
219.8,1,8,1
443.1,19,9,0
241.9,2,9,1
337.1,33,1,1
431.9,22,5,0
305.4,14,1,0
544.3,18,6,0
251.6,22,9,1
388.2,10,0,0
205.4,11,6,1
244.9,15,9,1
264.0,10,8,0
75.5,27,3,1
55.0,4,1,1
400.5,29,9,0
393.3,13,9,0
397.7,20,5,0
11.9,6,9,1
195.9,14,0,1
118.7,27,6,1
466.9,10,0,0
516.4,5,9,1
148.0,19,6,1
400.7,6,9,1
77.6,12,5,1
165.1,16,0,1
83.2,20,0,1
170.1,23,3,0
404.8,24,7,1
546.2,30,1,0
121.5,3,8,1
325.2,13,2,0
420.8,1,4,0
571.8,1,2,0
366.0,8,4,1
153.1,21,4,1
375.3,32,0,0
192.3,28,5,0
585.7,23,7,0
239.8,28,9,1
411.3,7,3,1
13.9,30,8,1
240.0,32,8,1
525.1,4,9,0
366.1,17,3,0
266.4,30,8,0
561.6,17,5,0
512.4,30,0,0
193.3,33,2,0
326.7,17,6,0
293.9,3,1,0
379.3,12,4,1
200.5,8,7,1
146.5,17,1,1
547.6,21,4,0
554.3,17,2,0
506.0,7,5,0
586.9,11,2,0
447.0,24,9,1
458.8,1,0,1
457.6,8,9,0
288.4,32,7,0
273.9,4,8,1
144.1,15,8,1
386.9,8,1,0
173.6,4,9,1
154.7,15,5,1
351.6,19,9,1
246.0,7,8,1
131.3,3,5,1
489.6,5,3,1
516.3,23,1,0
100.6,31,1,1
4.5,7,3,1
201.7,12,8,1
478.5,13,5,0
503.5,13,4,0
83.0,9,2,1
464.6,2,5,0
69.4,19,6,1
234.0,13,9,1
599.2,12,7,0
115.6,10,6,1
92.4,33,9,1
253.7,22,4,1
371.8,15,9,0
559.7,8,3,0
588.5,29,1,0
41.8,32,4,1
82.8,2,1,0
474.4,33,1,0
162.4,25,8,1
530.9,4,7,0
398.1,27,2,0
67.1,4,8,1
499.5,2,0,0
105.8,5,2,1
254.1,17,7,1
331.3,22,3,1
300.5,15,7,0
411.7,5,8,1
391.6,7,0,0
595.2,30,0,0
599.7,34,9,0
309.9,27,5,0
57.1,4,5,1
436.7,29,4,0
586.0,25,4,0
191.0,19,6,1
276.7,6,5,0
254.9,35,1,0
30.9,16,6,1
403.4,2,6,0
212.0,8,1,0
472.5,15,3,1
499.3,3,7,1
492.7,12,6,0
250.0,17,1,1
192.9,34,0,0
449.3,4,5,0
480.8,21,4,1
294.8,33,9,1
535.8,29,5,0
86.3,33,9,1
527.4,6,2,0
57.7,29,4,0
92.1,35,1,0
320.3,12,5,1
40.5,18,1,1
31.7,19,4,1
0.3,18,3,1
261.8,11,1,0
464.8,34,0,0
20.9,34,5,0
391.4,14,9,1
493.9,29,1,0
100.8,14,4,1
88.1,28,2,1
516.5,21,8,1
493.9,17,4,0
323.4,5,9,0
491.5,23,2,0
55.7,12,0,1
236.7,8,5,1
442.7,7,6,1
154.5,35,9,1
451.4,4,8,1
302.5,28,8,0
450.2,31,6,0
278.8,2,3,0
220.7,21,4,0
131.5,21,1,1
125.0,13,4,1
450.9,24,3,0
71.3,15,0,1
