annual_spend,purchase_frequency,avg_basket_size
5508.09,16.2,11.5
12204.73,52.1,5.7
18788.35,45.0,5.6
7023.89,53.3,2.8
11228.64,13.7,3.6
6066.73,32.3,12.9
3562.04,47.0,7.2
4064.67,15.5,4.2
1347.32,14.6,11.6
18996.01,2.6,8.8
8177.02,57.6,1.3
16715.59,42.9,5.4
13690.32,38.5,3.5
4000.04,44.9,10.2
3674.15,32.4,4.9
16277.37,29.1,1.9
5441.29,27.5,1.8
18283.05,38.8,9.1
2973.1,12.9,1.3
13618.63,53.4,12.9
16326.58,48.9,3.2
4858.08,21.6,9.5
5668.91,35.1,7.2
19297.47,9.3,7.2
5439.03,58.4,2.0
8713.15,54.3,12.2
8763.81,55.4,13.5
5210.09,20.6,1.2
15560.66,11.0,3.5
15482.62,13.5,13.7
7690.7,6.3,8.7
16735.49,8.1,3.1
4418.88,5.2,3.8
285.25,59.4,10.2
11509.11,5.4,11.1
19882.74,8.8,9.4
965.16,49.8,14.3
4318.36,35.2,7.9
10474.51,46.7,5.2
16236.83,38.2,7.7
1963.03,53.0,6.0
8025.65,38.7,4.1
14992.1,31.8,1.6
7556.56,43.1,5.9
3938.96,27.4,11.0
4070.82,21.4,1.3
8318.97,28.6,7.1
9692.46,11.0,10.0
17263.93,48.0,9.5
12916.6,16.4,11.9
13869.96,10.1,12.3
19663.15,15.5,11.0
8354.5,50.7,2.4
8186.42,20.5,7.7
18482.27,41.5,9.4
5068.34,51.5,4.4
14650.34,5.6,1.6
15140.55,46.1,4.1
2136.2,19.2,7.4
9470.98,13.8,6.8
4171.14,41.6,3.5
3870.43,54.7,12.5
9383.8,18.4,14.0
5930.71,34.6,3.8
15962.0,18.1,14.0
18170.58,33.7,1.3
16093.87,37.7,13.9
5467.41,37.0,14.3
5627.86,37.8,1.2
5243.62,9.0,11.7
2873.75,41.9,14.6
18887.21,40.8,13.7
8160.55,41.3,14.6
4648.85,5.4,8.7
16964.09,27.4,2.1
8104.07,25.1,12.9
895.31,6.1,9.6
3406.44,14.1,9.6
12857.16,27.0,6.8
15701.52,44.8,9.0
4376.5,15.0,3.2
18364.43,50.0,11.4
17049.74,33.2,2.1
16997.94,45.9,11.2
4707.69,28.9,12.9
1200.61,30.5,7.6
17374.99,37.6,8.1
6254.84,55.8,5.4
12454.54,30.0,14.6
15247.34,32.2,11.3
2740.21,36.5,6.2
15660.6,44.5,3.4
18782.53,5.2,4.1
14621.82,31.4,7.5
8936.21,29.4,14.2
17558.23,55.4,11.3
10643.66,30.1,4.0
14946.46,28.6,13.0
16446.02,57.8,6.3
15037.19,27.6,12.9
5899.53,11.7,4.4
2533.31,13.8,9.7
4919.1,6.6,14.0
10156.92,1.0,4.6
10204.48,26.5,10.7
11736.36,46.4,14.8
8023.02,44.3,3.1
15780.45,2.9,2.2
18280.44,34.6,10.4
5085.16,10.1,5.8
14783.16,56.5,2.0
13623.84,10.9,7.7
10557.19,38.0,11.6
3932.9,20.2,5.0
15945.6,38.9,5.7
19220.4,25.3,12.8
14492.36,45.8,8.3
18373.63,14.6,12.8
19686.87,54.4,7.2
7170.6,30.5,14.3
12836.83,45.6,10.1
9583.87,51.1,2.6
19735.25,59.9,13.4
2057.39,14.2,7.8
8365.02,17.9,3.0
17535.67,15.8,3.1
5824.22,16.5,10.6
15798.3,35.4,1.7
7779.11,59.6,5.0
19603.58,59.4,3.0
17693.89,32.1,7.2
6166.14,38.7,6.8
15449.82,51.7,8.3
6869.76,56.0,4.9
12205.98,13.0,1.4
13237.92,32.2,9.6
16625.99,50.1,6.2
684.13,18.9,10.1
4559.13,26.9,2.5
14295.97,59.2,1.2
11357.76,59.1,4.5
10012.98,54.5,7.4
1293.16,48.1,6.5
7095.86,16.9,12.3
17328.98,19.9,6.3
811.68,33.3,8.4
8049.44,34.1,9.3
18913.94,30.8,1.3
1207.44,38.6,8.2
15044.17,25.1,5.8
