purchase_history,browsing_minutes,age
1916.71,221.8,33
3862.53,71.6,28
4013.52,201.4,37
554.1,76.5,19
3043.3,153.3,41
4795.48,284.6,62
2010.69,114.4,36
254.72,262.7,23
4616.51,296.1,51
4418.33,262.5,23
2610.71,49.8,27
2761.27,245.9,24
1058.71,9.6,59
4097.25,118.0,64
2493.0,261.2,44
169.39,206.6,47
3415.07,159.8,48
4752.48,116.4,46
4145.75,243.7,43
1385.99,212.9,64
266.63,140.5,52
4701.76,267.7,22
4685.31,69.0,36
2662.08,51.1,63
3211.59,192.8,36
2313.0,291.6,27
2098.83,74.2,58
597.24,74.9,47
483.76,41.8,44
1163.66,258.2,37
4183.2,67.9,23
729.16,151.0,36
1133.49,297.3,38
2743.07,3.6,61
1075.66,166.9,32
816.03,153.7,25
2816.58,242.2,38
1840.47,106.6,64
3130.8,123.1,40
4561.03,50.4,35
754.97,222.2,49
4567.17,235.4,48
4512.45,41.0,32
4145.44,118.0,63
3156.43,267.9,45
3100.73,0.8,20
3196.06,89.6,37
3452.48,166.5,61
82.41,100.2,36
4790.46,81.6,44
2928.02,138.0,46
3907.33,54.5,51
1886.41,158.9,58
61.99,212.0,25
2548.67,172.6,42
2535.95,27.9,43
2184.95,253.3,25
1698.59,52.5,49
1249.13,229.4,23
2637.72,108.2,39
1876.39,234.8,33
4849.66,61.9,25
864.64,56.0,56
1598.33,149.1,29
1469.8,9.9,29
2716.55,67.6,58
2496.4,217.2,59
3218.7,251.2,19
4750.01,24.2,31
1426.11,264.6,51
3463.86,239.3,54
125.2,260.9,64
1311.94,209.5,44
2318.6,202.2,18
154.97,157.5,59
3088.35,195.8,25
3391.55,275.7,23
3733.66,30.2,49
2582.87,94.7,46
3019.72,21.7,20
1980.33,283.4,25
206.27,133.6,45
499.76,202.6,30
3274.98,252.3,50
4977.78,297.3,37
79.02,48.5,45
2787.92,239.9,40
3755.04,266.2,35
4133.87,14.7,34
2726.02,226.2,50
3099.58,106.4,42
3483.62,194.6,45
4294.83,154.2,45
611.45,77.9,27
4630.91,40.6,60
130.09,35.1,44
4181.0,31.0,51
383.7,191.3,59
973.14,105.4,61
19.47,65.0,49
2226.28,207.6,54
1671.8,206.1,40
829.96,161.8,52
2255.45,280.5,33
2011.85,115.6,51
3838.31,250.8,22
4465.65,22.5,60
3262.84,221.9,29
622.05,296.5,48
1476.95,254.0,18
4566.59,173.9,25
443.67,188.0,64
2034.28,106.0,57
4712.52,203.8,28
4753.32,231.1,24
2056.02,299.5,56
3336.98,147.7,64
2283.73,18.4,25
3767.3,178.8,49
157.91,35.7,31
720.79,73.4,52
3070.99,98.6,37
1162.76,219.3,23
3330.26,55.1,33
1756.11,49.7,43
4433.23,13.5,55
4096.3,262.0,18
2464.19,208.1,63
3864.48,12.0,48
1355.69,8.5,59
2471.3,167.6,61
987.41,84.8,25
4304.43,179.0,22
4115.34,130.4,54
4510.75,277.0,26
4387.38,86.3,24
4797.98,203.7,40
1141.68,16.2,60
4659.12,286.8,55
2856.07,294.2,42
2112.48,221.7,27
2801.87,139.6,33
1713.01,66.0,50
1442.77,243.8,25
1206.57,220.9,42
412.14,66.6,18
2482.82,135.4,33
4438.81,138.8,29
3150.76,247.9,50
2604.88,205.2,60
2142.96,193.0,24
2322.01,194.9,55
1046.39,81.1,48
4114.68,111.5,63
991.91,13.7,60
3583.11,236.1,22
3799.93,129.9,52
2874.35,131.5,45
4314.63,73.6,23
1455.25,62.8,30
4408.09,176.3,61
3647.05,69.8,43
3993.75,19.3,33
3322.9,230.3,33
4231.72,112.9,57
4965.49,114.1,31
2100.81,129.4,25
4069.58,244.5,44
3722.9,96.3,64
2264.35,227.4,26
4634.74,281.9,30
1972.13,198.3,40
2827.33,129.5,27
529.71,224.3,48
1128.88,137.4,29
4203.48,124.3,24
1982.76,157.6,30
1970.42,95.3,61
1229.91,31.3,61
2458.05,124.5,41
4029.08,37.2,36
4475.82,123.1,56
350.57,167.1,27
2874.1,279.2,48
2336.37,10.9,49
3071.41,186.4,51
2236.38,137.3,28
1993.22,6.1,51
2359.4,74.9,46
2910.0,35.5,59
2504.92,65.0,26
2360.72,82.4,46
4089.18,120.4,56
3728.24,158.7,31
1706.89,0.3,52
4002.89,48.6,22
4268.25,28.1,51
767.46,164.9,46
2913.41,98.7,27
1426.56,164.5,21
