area_sqft,bedrooms,location_score,price
1568,1,8,690494.79
3874,2,7,944177.28
2719,1,4,561258.07
3258,1,3,661636.29
2166,2,7,812676.8
3547,2,3,832879.87
852,3,3,578238.78
987,1,9,660506.28
2324,2,5,634227.65
3090,3,1,661653.6
3351,5,5,1085153.87
2096,4,5,829395.01
2808,5,8,1122286.35
2480,2,7,842773.09
3869,3,2,794042.54
2823,3,2,661076.03
2017,5,6,980727.17
3897,5,1,913520.45
964,5,3,700326.26
3947,4,2,930032.24
1123,3,1,376394.26
1579,3,9,870605.53
3392,5,1,963306.62
3094,2,1,531555.23
3899,2,9,970880.73
3149,5,2,786169.29
2765,2,8,913546.6
1778,2,1,445215.04
616,3,2,426863.35
1021,2,1,425371.39
1612,5,7,803069.93
739,5,6,832436.03
2327,2,5,802926.29
3242,3,3,731373.15
3875,5,1,912211.61
2264,4,6,866506.48
3575,2,3,705339.24
3950,3,6,1014424.28
3523,4,7,1198409.12
2180,4,8,1111843.2
1705,1,5,534443.65
3924,2,1,815183.61
1422,5,3,742774.59
1999,2,8,925101.46
851,2,5,526522.08
3298,2,6,883623.47
2809,1,5,709008.47
888,1,2,497291.22
1354,2,9,843557.13
2488,5,7,1026124.13
2437,1,9,900579.87
3327,2,8,957530.05
1504,1,3,401094.99
3743,3,3,913676.08
2111,2,3,585185.14
3396,4,9,1214234.55
1410,3,6,730039.11
725,4,5,697194.99
787,4,9,909937.95
1867,3,6,667821.98
3840,5,9,1370794.36
765,3,9,742878.83
1854,5,1,605942.05
971,5,4,733015.33
3767,3,7,1067078.86
2896,4,8,1045909.63
3193,2,2,713021.91
3025,5,3,852469.49
2833,4,5,905543.38
3230,5,8,1172507.55
627,2,2,352444.76
3542,4,6,1081771.86
3115,3,3,723326.42
3114,1,2,617136.96
1937,1,5,586220.14
3322,3,4,745123.22
1898,2,6,590244.51
766,1,3,341180.84
3686,3,8,1089061.96
1397,4,1,551434.79
946,2,8,691841.05
2714,5,1,809213.59
1394,4,7,914138.98
3517,3,4,815373.71
2108,5,4,802641.7
615,3,1,318200.57
3835,1,7,927535.0
2349,1,2,556576.84
1494,5,6,873399.63
2902,5,7,968138.01
2404,4,8,926240.43
700,1,7,484017.8
3182,2,3,678376.27
1964,1,7,661176.68
2979,1,8,859794.87
3645,2,3,748695.22
2676,3,2,744080.38
2883,1,9,855398.96
1465,5,2,644060.92
1408,3,6,757692.53
2011,2,3,479181.48
3499,3,2,803261.5
2382,4,7,981993.19
1783,2,2,485113.45
3250,1,7,935296.57
3501,1,7,832787.55
3668,5,1,1033777.89
1616,1,2,380394.11
3012,4,8,1024819.01
2607,2,5,747035.17
2126,4,2,630545.29
1949,1,9,738774.65
989,5,3,712502.0
1534,4,1,607414.93
2468,3,9,968829.94
3614,2,1,722924.31
3545,5,5,1164850.47
1237,2,9,864618.11
2909,3,6,940844.8
888,2,6,668365.72
2895,2,4,614552.09
1762,3,2,552365.61
2129,1,6,603459.68
3039,1,9,921833.55
2044,2,1,440993.05
3345,1,8,891430.53
2414,3,4,862610.49
3995,5,5,1139216.81
2770,1,2,557227.54
1607,1,6,578903.84
3235,1,2,592742.8
1987,3,3,648801.0
2416,2,7,846819.44
1065,3,1,507718.45
1005,1,5,569443.64
2554,2,6,805057.2
1234,3,2,543452.81
3991,3,3,819868.13
3509,3,4,875807.4
2982,4,6,1054257.37
3097,3,9,1133598.12
2623,5,8,1147456.58
804,3,2,509663.64
1934,2,1,491526.0
2285,2,1,576218.38
3712,2,6,942801.55
1346,3,2,500178.1
2289,2,3,624830.48
1769,5,8,856444.34
1056,3,8,809693.14
