customer_id,total_amount,items_purchased
1,3391.09,30
2,7644.97,12
3,13342.94,40
4,11906.7,41
5,7532.55,48
6,4398.54,8
7,2780.31,32
8,13187.9,49
9,10681.49,40
10,8625.23,12
11,13203.58,44
12,1913.19,21
13,10269.09,24
14,3329.01,28
15,1896.6,38
16,7037.57,6
17,5872.15,27
18,14123.49,41
19,4927.3,27
20,12242.04,14
21,11257.52,3
22,10052.07,27
23,13813.97,35
24,6178.08,27
25,5906.1,48
26,2498.12,30
27,4208.85,25
28,13208.67,3
29,7168.29,28
30,5186.16,9
31,3320.07,36
32,7325.91,8
33,10778.31,45
34,4371.71,15
35,11389.98,22
36,9483.84,8
37,11834.68,11
38,3838.55,46
39,9502.32,14
40,2390.66,26
41,5520.58,49
42,10892.97,31
43,9511.86,3
44,2899.12,18
45,12889.31,19
46,894.93,14
47,8968.71,12
48,14758.93,25
49,8019.42,19
50,12030.01,15
51,8968.2,21
52,11768.02,17
53,9868.35,12
54,10397.87,23
55,3494.39,47
56,11153.13,25
57,3644.86,30
58,14711.54,49
59,3494.03,31
60,3626.59,11
61,12894.23,20
62,3720.49,24
63,5477.45,24
64,10748.14,8
65,2465.35,6
66,2470.17,18
67,7346.74,45
68,3731.08,36
69,3611.3,42
70,237.66,9
71,5619.7,21
72,4841.93,29
73,564.22,22
74,9356.37,21
75,9437.16,18
76,1154.93,3
77,4823.92,43
78,13104.8,46
79,8774.29,4
80,6238.42,21
81,7030.02,26
82,3203.37,39
83,12197.03,49
84,13718.67,21
85,13668.89,37
86,3436.62,46
87,4730.03,41
88,2493.28,15
89,4677.3,41
90,5058.8,21
91,9533.28,1
92,2925.73,38
93,13799.01,41
94,1636.18,17
95,202.48,23
96,12838.68,18
97,10586.17,6
98,5394.86,49
99,8972.95,2
100,3430.81,28
101,2609.01,1
102,7120.12,34
103,5362.5,45
104,9266.93,32
105,3350.42,30
106,9977.62,41
107,11526.24,48
108,2582.88,43
109,753.49,12
110,6649.85,28
111,11632.96,41
112,9796.62,15
113,10558.04,34
114,6102.31,2
115,3600.69,43
116,8023.5,31
117,3145.05,37
118,10920.81,41
119,3034.8,11
120,4439.82,23
121,7647.52,43
122,7351.98,9
123,9052.66,41
124,6617.92,15
125,13800.15,29
126,12615.02,25
127,13198.79,34
128,9479.8,41
129,9561.62,18
130,9177.06,9
131,6579.77,21
132,4899.38,30
133,8920.84,37
134,480.42,37
135,211.1,17
136,12789.46,46
137,791.72,5
138,7919.45,6
139,9263.32,2
140,3052.75,46
141,13446.39,9
142,2932.43,30
143,13279.27,40
144,11468.56,38
145,3687.07,47
146,2346.09,3
147,4811.87,20
148,6029.46,25
149,3762.19,35
150,14983.48,31
