customer_id,total_spent,visit_frequency
1,9540.81,70
2,1492.58,95
3,5242.78,55
4,2009.95,80
5,809.8,59
6,2062.97,88
7,595.0,41
8,1437.0,39
9,4960.17,42
10,6535.56,99
11,919.03,61
12,4438.14,16
13,5833.41,5
14,2380.55,52
15,3752.18,80
16,764.76,48
17,2240.3,56
18,4694.19,80
19,9904.9,52
20,9962.84,90
21,9797.24,64
22,4259.71,73
23,852.77,78
24,3269.56,63
25,2415.26,5
26,190.56,43
27,997.57,15
28,4559.26,51
29,3429.64,15
30,1844.52,51
31,7175.19,35
32,3603.3,3
33,8526.09,13
34,2447.72,50
35,5407.02,8
36,1882.19,85
37,4978.24,76
38,1567.04,71
39,1657.71,18
40,6141.62,79
41,2674.67,63
42,1765.05,39
43,9301.19,1
44,477.88,53
45,5673.22,79
46,5505.23,4
47,2543.56,6
48,4555.08,38
49,922.99,51
50,7226.64,47
51,2255.89,43
52,1974.18,26
53,3183.04,6
54,9028.58,4
55,7974.84,10
56,9471.58,69
57,6537.03,78
58,6646.07,44
59,4826.31,8
60,9056.6,42
61,5133.23,98
62,3582.85,25
63,6421.73,49
64,5484.09,54
65,1284.0,33
66,3957.62,44
67,3167.59,47
68,8476.0,47
69,3819.48,72
70,8224.47,58
71,4451.78,6
72,7547.33,1
73,1396.06,41
74,9250.27,90
75,4831.57,4
76,2634.99,8
77,2452.82,68
78,2687.52,45
79,3698.91,23
80,7189.32,21
81,9498.55,66
82,6706.92,52
83,5494.3,64
84,4513.55,28
85,8290.53,53
86,8504.09,86
87,2965.72,32
88,9536.53,40
89,3981.4,17
90,8010.78,64
91,9669.86,4
92,7051.4,25
93,1657.43,71
94,5882.06,2
95,1231.83,98
96,7901.96,41
97,2849.09,40
98,6967.39,54
99,9105.39,64
100,1851.05,46
101,3958.94,88
102,6488.83,96
103,4225.6,20
104,1789.45,70
105,339.26,30
106,4095.65,99
107,6509.63,26
108,5761.14,30
109,1604.6,71
110,4534.4,79
111,3726.24,13
112,2778.31,56
113,7306.25,35
114,3131.04,61
115,5424.41,56
116,9236.07,98
117,5415.8,93
118,6189.38,65
119,778.8,68
120,1822.43,89
121,1054.46,19
122,7659.89,72
123,8367.41,77
124,1905.23,13
125,2231.75,88
126,3265.91,70
127,5931.22,35
128,6236.87,48
129,6883.2,49
130,9056.67,91
131,2985.65,96
132,6604.65,80
133,5619.24,65
134,3093.08,11
135,9078.78,91
136,1000.06,14
137,7134.41,17
138,7292.34,7
139,9157.5,94
140,5209.88,49
141,3250.14,24
142,8286.02,8
143,7719.56,41
144,5028.14,72
145,7690.18,99
146,2715.36,55
147,5915.59,61
148,8658.58,83
149,3213.95,90
150,4861.32,28
