date,closing_price
2025-01-01,498.9
2025-01-02,501.73
2025-01-03,502.58
2025-01-06,498.69
2025-01-07,507.94
2025-01-08,506.18
2025-01-09,510.06
2025-01-10,497.97
2025-01-13,504.35
2025-01-14,511.7
2025-01-15,511.85
2025-01-16,514.64
2025-01-17,517.43
2025-01-20,514.22
2025-01-21,516.95
2025-01-22,512.91
2025-01-23,509.87
2025-01-24,515.5
2025-01-27,520.37
2025-01-28,516.84
2025-01-29,513.17
2025-01-30,509.95
2025-01-31,513.61
2025-02-03,508.61
2025-02-04,510.39
2025-02-05,514.13
2025-02-06,513.69
2025-02-07,518.74
2025-02-10,517.22
2025-02-11,516.15
2025-02-12,511.26
2025-02-13,516.35
2025-02-14,512.51
2025-02-17,514.26
2025-02-18,513.91
2025-02-19,508.64
2025-02-20,505.6
2025-02-21,512.51
2025-02-24,513.52
2025-02-25,508.47
2025-02-26,510.0
2025-02-27,509.27
2025-02-28,526.54
2025-03-03,527.96
2025-03-04,526.06
2025-03-05,533.16
2025-03-06,523.96
2025-03-07,524.43
2025-03-10,534.4
2025-03-11,533.82
2025-03-12,525.15
2025-03-13,523.17
2025-03-14,530.45
2025-03-17,532.33
2025-03-18,528.13
2025-03-19,524.71
2025-03-20,521.91
2025-03-21,523.71
2025-03-24,530.4
2025-03-25,535.67
2025-03-26,537.95
2025-03-27,531.29
2025-03-28,524.65
2025-03-31,527.31
2025-04-01,520.59
2025-04-02,519.46
2025-04-03,520.98
2025-04-04,515.29
2025-04-07,510.17
2025-04-08,509.7
2025-04-09,512.22
2025-04-10,517.53
2025-04-11,520.56
2025-04-14,520.93
2025-04-15,517.2
2025-04-16,511.84
2025-04-17,509.29
2025-04-18,511.34
2025-04-21,513.02
2025-04-22,502.52
2025-04-23,498.59
2025-04-24,504.62
2025-04-25,505.01
2025-04-28,497.93
2025-04-29,509.71
2025-04-30,509.56
2025-05-01,511.48
2025-05-02,513.48
2025-05-05,511.64
2025-05-06,508.01
2025-05-07,518.61
2025-05-08,523.63
2025-05-09,527.74
2025-05-12,530.62
2025-05-13,525.61
2025-05-14,531.99
2025-05-15,527.78
2025-05-16,529.19
2025-05-19,521.0
2025-05-20,510.79
2025-05-21,512.38
2025-05-22,508.34
2025-05-23,498.39
2025-05-26,501.1
2025-05-27,511.7
2025-05-28,518.64
2025-05-29,517.36
2025-05-30,517.4
2025-06-02,521.84
2025-06-03,527.45
2025-06-04,525.73
2025-06-05,525.9
2025-06-06,527.41
2025-06-09,530.18
2025-06-10,529.51
2025-06-11,528.91
2025-06-12,535.81
2025-06-13,541.86
2025-06-16,544.24
2025-06-17,552.84
