city,date,temperature
Chennai,2025-01-01,27.4
Chennai,2025-01-02,36.7
Chennai,2025-01-03,29.2
Chennai,2025-01-04,28.2
Chennai,2025-01-05,34.4
Chennai,2025-01-06,27.1
Chennai,2025-01-07,27.6
Chennai,2025-01-08,30.0
Chennai,2025-01-09,30.0
Chennai,2025-01-10,31.0
Chennai,2025-01-11,38.4
Chennai,2025-01-12,31.3
Chennai,2025-01-13,20.5
Chennai,2025-01-14,31.3
Chennai,2025-01-15,30.2
Chennai,2025-01-16,30.2
Chennai,2025-01-17,31.0
Chennai,2025-01-18,29.9
Chennai,2025-01-19,29.8
Chennai,2025-01-20,32.5
Chennai,2025-01-21,27.8
Chennai,2025-01-22,26.2
Chennai,2025-01-23,42.1
Chennai,2025-01-24,27.1
Chennai,2025-01-25,30.4
Chennai,2025-01-26,24.0
Chennai,2025-01-27,30.5
Chennai,2025-01-28,26.3
Chennai,2025-01-29,28.2
Chennai,2025-01-30,34.2
Chennai,2025-01-31,31.9
Chennai,2025-02-01,32.3
Chennai,2025-02-02,22.9
Chennai,2025-02-03,37.3
Chennai,2025-02-04,25.2
Chennai,2025-02-05,36.1
Chennai,2025-02-06,34.1
Chennai,2025-02-07,32.3
Chennai,2025-02-08,26.6
Chennai,2025-02-09,30.6
Chennai,2025-02-10,28.1
Chennai,2025-02-11,30.1
Chennai,2025-02-12,29.0
Chennai,2025-02-13,21.8
Chennai,2025-02-14,34.5
Chennai,2025-02-15,29.7
Chennai,2025-02-16,28.1
Chennai,2025-02-17,27.8
Chennai,2025-02-18,31.4
Chennai,2025-02-19,26.4
Chennai,2025-02-20,21.0
Chennai,2025-02-21,31.6
Chennai,2025-02-22,32.1
Chennai,2025-02-23,29.2
Chennai,2025-02-24,25.4
Chennai,2025-02-25,30.4
Chennai,2025-02-26,24.1
Chennai,2025-02-27,25.9
Chennai,2025-02-28,27.0
Chennai,2025-03-01,33.4
Chennai,2025-03-02,28.5
Chennai,2025-03-03,28.2
Chennai,2025-03-04,37.8
Chennai,2025-03-05,31.4
Chennai,2025-03-06,31.4
Chennai,2025-03-07,28.5
Chennai,2025-03-08,27.6
Chennai,2025-03-09,21.3
Chennai,2025-03-10,33.9
Chennai,2025-03-11,31.8
Chennai,2025-03-12,29.3
Chennai,2025-03-13,29.5
Chennai,2025-03-14,32.9
Chennai,2025-03-15,23.8
Chennai,2025-03-16,27.6
Chennai,2025-03-17,25.5
Chennai,2025-03-18,37.1
Chennai,2025-03-19,33.5
Chennai,2025-03-20,21.2
Chennai,2025-03-21,23.9
Chennai,2025-03-22,29.5
Chennai,2025-03-23,28.1
Chennai,2025-03-24,24.7
Chennai,2025-03-25,37.8
